IDPOLUICAO;LAT;LONG
205;-23,5341896;-46,8260242
206;-23,531693;-46,789925
207;-23,5768063;-46,7492875
208;-23,6020586;-46,7862244
209;-23,5784534;-46,7422072
210;-23,6137664;-46,6359265
211;-23,5190024;-46,6617895
212;-23,5536202;-46,6872401
213;-23,5281071;-46,804261
214;-23,5640402;-46,653495
215;-23,5384559;-46,8301241
216;-23,6176029;-46,785934
217;-23,5447415;-46,6873843
218;-23,557333;-46,8029357
219;-23,5352561;-46,6654125
220;-23,4873011;-46,5873708
221;-23,5493527;-46,4487431
222;-23,5453091;-46,7038029
223;-23,5525772;-46,719229
224;-23,5371798;-46,6963921
225;-23,7174976;-46,8473186
226;-23,60347;-46,7931878
227;-23,5834587;-46,7636953
228;-23,5648651;-46,6866366
229;-23,549433;-46,806414
230;-23,5718916;-46,7413299
231;-23,548943;-46,638817
232;-23,6243354;-46,7290294
233;-23,5597173;-46,7974062
234;-23,5358931;-46,6686133
235;-23,6344231;-46,7682627
236;-23,5832234;-46,7613133
237;-23,5064386;-46,8048113
238;-23,8878636;-46,4553657
239;-23,5449273;-46,7579238
240;-23,6382093;-46,7741862
241;-23,5025435;-46,4005068
242;-23,5838789;-47,1609513
243;-23,5510569;-46,7836765
244;-23,0247777;-46,9847039
245;-23,5897775;-46,7485251
246;-23,607832;-46,75288
247;-23,5677259;-46,7499782
248;-23,584549;-46,7553
249;-23,6100751;-46,7801836
250;-23,5551587;-46,6740727
251;-23,6224681;-46,7515962
252;-23,569662;-46,755714
253;-23,5334053;-46,7604886
254;-23,564321;-46,760216
255;-23,5841886;-46,7885456
256;-23,5621572;-46,744963
257;-23,5665362;-46,6117787
258;-23,6643921;-46,6122094
259;-23,5761666;-46,7516156
260;-23,563405;-46,7433334
261;-23,5882104;-46,7411315
262;-23,573118;-46,7294852
263;-23,5624184;-46,8093117
264;-23,5595101;-46,7807472
265;-23,597372;-46,7659756
266;-23,5645376;-46,649234
267;-23,6083616;-46,6331104
268;-23,5821569;-46,811572
269;-23,48376;-46,494436
270;-23,5124913;-46,7897654
271;-23,519222;-46,836739
272;-23,3194252;-46,7133448
273;-23,5739024;-46,7386981
274;-23,5511852;-46,7471626
275;-23,5732246;-46,8318195
276;-23,5825588;-46,7972231
277;-23,5795247;-46,7952068
278;-23,5775476;-46,7215355
279;-23,6005231;-46,7950942
280;-23,5882104;-46,7411315
281;-23,5125546;-46,7699921
282;-23,6511401;-46,7709268
283;-23,604602;-46,7742393
284;-23,519222;-46,836739
285;-23,5656588;-46,8063483
286;-23,531693;-46,789925
287;-23,6520398;-47,0009916
288;-23,5563601;-46,8041469
289;-23,5599756;-46,7497373
290;-23,566063;-46,7468927
291;-23,5697291;-46,709141
292;-23,5726634;-46,6827011
293;-23,5811147;-46,6712228
294;-23,6375939;-46,7692053
295;-23,5367522;-46,8241678
296;-23,5926181;-46,7256005
297;-23,58432;-46,750515
298;-23,5515003;-46,5113043
299;-22,909762;-47,0563076
300;-23,5689342;-46,7285141
301;-23,562234;-46,74551
302;-23,5624508;-46,7528338
303;-23,5842468;-46,7918259
304;-23,560995;-46,747892
305;-23,6332154;-46,939197
306;-23,547758;-46,439811
307;-23,5786191;-46,7771713
308;-23,6539395;-46,8470634
309;-23,5696048;-46,7273422
310;-23,5502436;-46,8163453
311;-23,5798622;-46,7931237
312;-23,5546619;-46,834327
313;-23,5611009;-46,6833746
314;-23,5189558;-46,4226932
315;-23,5785076;-46,749529
316;-23,5563151;-46,6399368
317;-23,5167516;-46,8020197
318;-23,567244;-46,7576647
319;-23,5092482;-46,3979491
320;-23,5699163;-46,6570062
321;-23,4588682;-46,6541561
322;-23,6754958;-46,548141
323;-23,5719651;-46,77737
324;-23,519222;-46,836739
325;-23,6865691;-46,7036901
326;-23,5455398;-46,7441652
